name,label
Core and Strength,topic
Balance and Alignment,topic
Deep Relaxation/Mind Practice,topic
Stretch and Release,topic
Stress Relief/Breath Techniques,topic
ashtanga,style
aerial,style
baptiste,style
barre,style
yoga,style
hot yoga / bikram,style
breathwork / pranayama,style
other,style
flow,style
dharma,style
hatha,style
iyengar,style
training,style
jivamukti,style
karma,style
yoga for kids / family,style
kundalini,style
meditation,style
nidra,style
pilates,style
pre(post)natal,style
restore,style
vinyasa,style
yin,style
tai chi,style
qigong,style