yoga_related,org_details,irr_verbs,city_name,common_words,other
yoga,practice,get,nyc,also,new
meditation,asana,begin,new,welcome,u
flow,teach,start,york,every,system
vinyasa,learn,provide,,even,minute
yin,teacher,take,,wherever,degree
kundalini,teachers,may,,,time
pranayama,student,go,,,one
karma,students,work,,,open
hatha,beginner,move,,,day
nidra,practitioner,offer,,,
chi,anyone,,,,
jivamukti,many,,,,
iyengar,people,,,,
aerial,pose,,,,
dharma,posture,,,,
bhakti,level,,,,
barre,movement,,,,
ashtanga,class,,,,
bikram,room,,,,
yang,exercise,,,,
kripalu,series,,,,
style,set,,,,
hot,,,,,
heated,,,,,
inferno,,,,,